,wip,peb,rocks,level
"(16384.0, 32768.0]",0.0,2.164763775278959,0.0,0.0
"(32768.0, 49152.0]",0.0,2.143180886193426,0.0,0.0
"(49152.0, 65536.0]",0.0,2.0028921071374612,0.0,0.0
"(65536.0, 81920.0]",0.0,1.8647616169900503,0.0,0.0
"(81920.0, 98304.0]",0.0,1.7762717717393648,0.0,0.0
"(98304.0, 114688.0]",0.0,1.6489327261347202,0.0,0.0
"(114688.0, 131072.0]",0.0,1.4978525025359894,0.0,0.0
"(131072.0, 147456.0]",0.0,1.3359808343944921,0.0,0.0
"(147456.0, 163840.0]",0.0,1.277707033863553,0.0,0.0
"(163840.0, 180224.0]",0.0,1.3769883236570046,0.0,0.0
"(180224.0, 196608.0]",0.0,1.26259901150368,0.0,0.0
"(196608.0, 212992.0]",0.0,1.3661968791142383,0.0,0.0
"(212992.0, 229376.0]",0.0,1.212958366606954,0.0,0.0
"(229376.0, 245760.0]",0.0,1.148209699350355,0.0,0.0
"(245760.0, 262144.0]",0.0,1.2453327002352534,0.0,0.0
"(262144.0, 278528.0]",0.0,0.9906546090259643,0.0,0.0
"(278528.0, 294912.0]",0.0,0.9949711868430707,0.0,0.0
"(294912.0, 311296.0]",0.0,0.9582802753976648,0.0,0.0
"(311296.0, 327680.0]",0.0,0.9841797423003044,0.0,0.0
"(327680.0, 344064.0]",0.0,0.9496471197634516,0.0,0.0
"(344064.0, 360448.0]",0.0,0.9777048755746445,0.0,0.0
"(360448.0, 376832.0]",0.0,0.9798631644831977,0.0,0.0
"(376832.0, 393216.0]",0.0,0.9323808084950251,0.0,0.0
"(393216.0, 409600.0]",0.0,0.7964086072561672,0.0,0.0
"(409600.0, 425984.0]",0.0,0.9107979194094921,0.0,0.0
"(425984.0, 442368.0]",0.0,0.8287829408844668,0.0,0.0
"(442368.0, 458752.0]",0.0,0.7618759847193146,0.0,0.0
"(458752.0, 475136.0]",0.0,0.7834588738048475,0.0,0.0
"(475136.0, 491520.0]",0.0,0.7769840070791876,0.0,0.0
"(491520.0, 507904.0]",0.0,0.7316599399995684,0.0,0.0
"(507904.0, 524288.0]",0.0,0.686335872919949,0.0,0.0
"(524288.0, 540672.0]",0.0,0.6798610061942891,0.0,0.0
"(540672.0, 557056.0]",0.0,0.6604364060173095,0.0,0.0
"(557056.0, 573440.0]",0.0,0.6474866725659897,0.0,0.0
"(573440.0, 589824.0]",0.0,0.6302203612975633,0.0,0.0
"(589824.0, 606208.0]",0.0,0.6345369391146699,0.0,0.0
"(606208.0, 622592.0]",0.0,0.5848962942179441,0.0,0.0
"(622592.0, 638976.0]",0.0,0.6021626054863705,0.0,0.0
"(638976.0, 655360.0]",0.0,0.6237454945719034,0.0,0.0
"(655360.0, 671744.0]",0.0,0.5848962942179441,0.0,0.0
"(671744.0, 688128.0]",0.0,0.5589968273153044,0.0,0.0
"(688128.0, 704512.0]",0.0,0.5654716940409643,0.0,0.0
"(704512.0, 720896.0]",0.0,0.5697882718580709,0.0,0.0
"(720896.0, 737280.0]",0.0,0.5093561824185786,0.0,0.0
"(737280.0, 753664.0]",0.0,0.5330973604126649,0.0,0.0
"(753664.0, 770048.0]",0.0,0.5158310491442384,0.0,0.0
"(770048.0, 786432.0]",0.0,0.5309390715041116,0.0,0.0
"(786432.0, 802816.0]",0.0,0.48993158224159883,0.0,0.0
"(802816.0, 819200.0]",0.0,0.4597155375218527,0.0,0.0
"(819200.0, 835584.0]",0.0,0.5158310491442384,0.0,0.05455537370430987
"(835584.0, 851968.0]",0.0,0.43381607061921307,0.0,0.0
"(851968.0, 868352.0]",0.0,0.4079166037165735,0.0,0.0
"(868352.0, 884736.0]",0.0,0.4489240929790862,0.0,0.0
"(884736.0, 901120.0]",0.0,0.4208663371678933,0.0,0.0
"(901120.0, 917504.0]",0.0,0.3777005589968273,0.0,0.0
"(917504.0, 933888.0]",0.0,0.3733839811797207,0.0,0.0
"(933888.0, 950272.0]",0.0,0.4964064489672588,0.0,0.0
"(950272.0, 966656.0]",0.0,0.45539895970474603,0.0,0.0
"(966656.0, 983040.0]",0.0,0.4273412038935532,0.0,0.0
"(983040.0, 999424.0]",0.0,0.36475082554550753,0.0,0.0
"(999424.0, 1015808.0]",0.0,0.3690674033626141,0.0,0.0
"(1015808.0, 1032192.0]",0.0,0.4273412038935532,0.0,0.0
"(1032192.0, 1048576.0]",0.0,0.35180109209418775,0.0,0.0
